model,seed,N,C,completion,virtual_time_s,time_per_clear_s,macro_steps,error
baseline,419002665,13,13,True,4678.056496,359.8504996923077,36,
baseline,419002666,10,10,True,2251.859779,225.18597789999998,18,
baseline,419002667,10,10,True,3604.077739,360.4077739,28,
baseline,419002668,13,13,True,3481.850912,267.83468553846154,27,
baseline,419002669,12,12,True,3662.145381,305.17878175,36,
baseline,419002670,10,10,True,2265.441792,226.5441792,19,
baseline,419002671,16,16,True,4585.910315,286.6193946875,40,
baseline,419002672,10,10,True,3123.356546,312.3356546,22,
baseline,419002673,16,16,True,3820.663418,238.791463625,47,
baseline,419002674,11,11,True,3096.557953,281.50526845454544,28,
baseline,419002675,10,10,True,3336.8471,333.68471,32,
baseline,419002676,10,10,True,3047.743486,304.7743486,22,
baseline,419002677,15,15,True,4069.408719,271.2939146,40,
baseline,419002678,16,16,True,1449.585837,90.5991148125,24,
baseline,419002679,11,11,True,3529.705566,320.8823241818182,33,
baseline,419002680,13,13,True,3699.021019,284.54007838461536,32,
baseline,419002681,11,11,True,3478.717339,316.2470308181818,34,
baseline,419002682,10,10,True,2541.735038,254.1735038,18,
baseline,419002683,13,13,True,3784.007673,291.0775133076923,35,
baseline,419002684,11,11,True,2972.363728,270.2148843636364,27,
baseline,419002685,13,13,True,3770.355374,290.0273364615385,34,
baseline,419002686,13,13,True,3286.592433,252.81480253846152,28,
baseline,419002687,11,11,True,3466.107359,315.100669,32,
baseline,419002688,14,14,True,3290.090706,235.00647899999998,26,
baseline,419002689,12,12,True,3637.271167,303.1059305833333,33,
baseline,419002690,11,11,True,2576.454729,234.22315718181818,19,
baseline,419002691,11,11,True,3432.723126,312.06573872727273,30,
baseline,419002692,16,16,True,3764.750843,235.2969276875,33,
baseline,419002693,10,10,True,3388.146209,338.8146209,29,
baseline,419002694,14,14,True,2674.027927,191.0019947857143,27,
baseline,419002695,12,12,True,3757.872271,313.15602258333337,33,
baseline,419002696,14,14,True,3834.441603,273.8886859285714,28,
baseline,419002697,12,12,True,3572.872617,297.73938475,36,
baseline,419002698,16,16,True,1752.686085,109.5428803125,34,
baseline,419002699,13,13,True,3512.421149,270.1862422307692,36,
baseline,419002700,16,16,True,3297.157374,206.072335875,33,
baseline,419002701,15,15,True,4338.526919,289.23512793333333,39,
baseline,419002702,14,14,True,2407.636935,171.97406678571429,23,
baseline,419002703,13,13,True,3586.206959,275.8620737692308,36,
baseline,419002704,16,16,True,4023.090177,251.4431360625,35,
baseline,419002705,10,10,True,3318.9503,331.89503,31,
baseline,419002706,10,10,True,2333.097487,233.3097487,24,
baseline,419002707,16,16,True,4385.135845,274.0709903125,45,
baseline,419002708,16,16,True,4000.255912,250.0159945,30,
baseline,419002709,13,13,True,3459.554511,266.1195777692308,36,
baseline,419002710,10,10,True,2324.17129,232.41712900000002,22,
baseline,419002711,16,16,True,3562.287222,222.642951375,46,
baseline,419002712,10,10,True,3108.978805,310.89788050000004,22,
baseline,419002713,11,11,True,3835.237306,348.6579369090909,31,
baseline,419002714,11,11,True,2372.944527,215.72222972727275,19,
baseline,419002715,11,11,True,3549.356769,322.6687971818182,29,
baseline,419002716,10,10,True,3457.360312,345.73603119999996,25,
baseline,419002717,16,16,True,3603.759281,225.2349550625,44,
baseline,419002718,15,15,True,2787.840052,185.85600346666666,24,
baseline,419002719,13,13,True,3736.174916,287.39807046153845,35,
baseline,419002720,16,16,True,2977.837473,186.1148420625,28,
baseline,419002721,12,12,True,4030.117067,335.84308891666666,35,
baseline,419002722,14,14,True,2608.660456,186.33288971428573,34,
baseline,419002723,10,10,True,3401.25746,340.125746,31,
baseline,419002724,11,11,True,3219.214172,292.6558338181818,25,
baseline,419002725,15,15,True,4199.355827,279.95705513333337,40,
baseline,419002726,10,10,True,2519.167653,251.9167653,21,
baseline,419002727,12,12,True,3185.336815,265.44473458333334,33,
baseline,419002728,16,16,True,3962.390168,247.6493855,34,
baseline,419002729,13,13,True,3560.468409,273.88218530769234,35,
baseline,419002730,11,11,True,2575.578917,234.1435379090909,22,
baseline,419002731,11,11,True,3627.556296,329.7778450909091,29,
baseline,419002732,14,14,True,3234.08202,231.00585857142855,33,
baseline,419002733,16,16,True,3740.033506,233.752094125,46,
baseline,419002734,13,13,True,2492.446539,191.72665684615384,24,
baseline,419002735,11,11,True,3272.260939,297.4782671818182,36,
baseline,419002736,14,14,True,3264.338134,233.16700957142857,28,
baseline,419002737,16,16,True,3741.049229,233.8155768125,40,
baseline,419002738,13,13,True,2077.153315,159.78102423076922,21,
baseline,419002739,15,15,True,3834.796455,255.653097,42,
baseline,419002740,13,13,True,3948.50899,303.73146076923075,32,
baseline,419002741,11,11,True,3623.636247,329.421477,36,
baseline,419002742,14,14,True,2860.956544,204.35403885714285,29,
baseline,419002743,14,14,True,4031.036657,287.9311897857143,39,
baseline,419002744,15,15,True,3379.85865,225.32391,29,
baseline,419002745,10,10,True,3234.628003,323.46280029999997,31,
baseline,419002746,15,15,True,2499.699246,166.6466164,27,
baseline,419002747,12,12,True,3459.540948,288.295079,37,
baseline,419002748,13,13,True,3225.932506,248.1486543076923,26,
baseline,419002749,10,10,True,4180.376227,418.0376227,31,
baseline,419002750,13,13,True,2186.029608,168.1561236923077,21,
baseline,419002751,12,12,True,3669.387156,305.782263,35,
baseline,419002752,11,11,True,3604.471034,327.6791849090909,24,
baseline,419002753,10,10,True,3376.414461,337.6414461,32,
baseline,419002754,13,13,True,2226.56026,171.27386615384617,21,
baseline,419002755,12,12,True,3842.388311,320.1990259166667,33,
baseline,419002756,12,12,True,2937.622563,244.80188024999998,24,
baseline,419002757,12,12,True,3816.178672,318.0148893333333,36,
baseline,419002758,13,13,True,2752.176587,211.7058913076923,27,
baseline,419002759,16,16,True,4086.084463,255.3802789375,43,
baseline,419002760,15,15,True,3187.27491,212.484994,29,
baseline,419002761,10,10,True,3620.047066,362.0047066,28,
baseline,419002762,16,16,True,1450.730604,90.67066275,29,
baseline,419002763,15,15,True,3859.371438,257.2914292,39,
baseline,419002764,13,13,True,3645.122822,280.39406323076923,29,
baseline,419002765,13,13,True,3493.326766,268.71744353846157,35,
baseline,419002766,10,10,True,2376.356382,237.6356382,20,
baseline,419002767,14,14,True,4104.694521,293.1924657857143,37,
baseline,419002768,12,12,True,2998.131868,249.84432233333334,25,
baseline,419002769,14,14,True,3723.162387,265.94017049999997,40,
baseline,419002770,10,10,True,2499.588363,249.95883629999997,23,
baseline,419002771,13,13,True,3570.235009,274.6334622307692,37,
baseline,419002772,13,13,True,3136.997957,241.30753515384615,27,
baseline,419002773,15,15,True,3604.54208,240.30280533333334,40,
baseline,419002774,13,13,True,2644.123429,203.39410992307694,21,
baseline,419002775,15,15,True,3709.607685,247.307179,43,
baseline,419002776,16,16,True,3664.716125,229.0447578125,37,
baseline,419002777,14,14,True,3566.540925,254.7529232142857,40,
baseline,419002778,15,15,True,2427.058572,161.8039048,24,
baseline,419002779,12,12,True,3785.771049,315.48092075,33,
baseline,419002780,11,11,True,2813.706691,255.79151736363636,22,
baseline,419002781,11,11,True,3651.09961,331.91814636363637,33,
baseline,419002782,16,16,True,2041.592091,127.5995056875,29,
baseline,419002783,13,13,True,3464.008333,266.4621794615385,37,
baseline,419002784,13,13,True,2971.434048,228.57184984615384,24,
baseline,419002785,10,10,True,3317.067384,331.7067384,30,
baseline,419002786,15,15,True,2415.363056,161.02420373333334,30,
baseline,419002787,16,16,True,3793.786406,237.111650375,43,
baseline,419002788,10,10,True,3381.146858,338.1146858,24,
baseline,419002789,10,10,True,3357.050414,335.70504139999997,31,
baseline,419002790,11,11,True,2591.821705,235.62015499999998,19,
baseline,419002791,10,10,True,3466.511638,346.6511638,29,
baseline,419002792,10,10,True,2702.734446,270.2734446,22,
baseline,419002793,14,14,True,4450.384971,317.88464078571434,34,
baseline,419002794,14,14,True,2751.59224,196.54230285714286,27,
baseline,419002795,16,16,True,3386.97163,211.685726875,41,
baseline,419002796,12,12,True,3025.774913,252.1479094166667,23,
baseline,419002797,10,10,True,3236.764207,323.6764207,28,
baseline,419002798,16,16,True,1559.429613,97.4643508125,22,
baseline,419002799,12,12,True,3501.230372,291.7691976666667,32,
baseline,419002800,14,14,True,3761.455881,268.67542007142856,34,
baseline,419002801,12,12,True,3371.264943,280.93874525,36,
baseline,419002802,10,10,True,2441.508987,244.15089870000003,24,
baseline,419002803,16,16,True,3717.487206,232.342950375,39,
baseline,419002804,13,13,True,3219.533006,247.65638507692307,25,
baseline,419002805,16,16,True,3939.039301,246.1899563125,42,
baseline,419002806,11,11,True,2398.512799,218.0466180909091,23,
baseline,419002807,12,12,True,3296.360501,274.6967084166667,38,
baseline,419002808,14,14,True,3276.765916,234.05470828571427,34,
baseline,419002809,12,12,True,4098.590062,341.54917183333333,34,
baseline,419002810,15,15,True,2543.50543,169.5670286666667,26,
baseline,419002811,11,11,True,3209.742124,291.79473854545455,33,
baseline,419002812,11,11,True,3206.013656,291.45578690909093,24,
baseline,419002813,14,14,True,3674.427373,262.45909807142857,41,
baseline,419002814,14,14,True,2430.887847,173.63484621428572,23,
baseline,419002815,12,12,True,3626.812965,302.23441375,35,
baseline,419002816,13,13,True,3325.548168,255.81139753846153,30,
baseline,419002817,12,12,True,3686.769494,307.2307911666667,35,
baseline,419002818,16,16,True,1850.39913,115.649945625,26,
baseline,419002819,10,10,True,3470.504873,347.0504873,35,
baseline,419002820,14,14,True,3073.805688,219.55754914285714,29,
baseline,419002821,12,12,True,3626.169903,302.18082525,32,
baseline,419002822,11,11,True,2684.529921,244.04817463636363,23,
baseline,419002823,12,12,True,3383.201595,281.93346625,34,
baseline,419002824,14,14,True,4040.160934,288.5829238571429,32,
baseline,419002825,13,13,True,3580.8219,275.4478384615385,39,
baseline,419002826,12,12,True,2512.359349,209.3632790833333,25,
baseline,419002827,14,14,True,3302.826155,235.91615392857145,37,
baseline,419002828,13,13,True,3387.319368,260.5630283076923,31,
baseline,419002829,16,16,True,3801.084862,237.567803875,40,
baseline,419002830,16,16,True,1653.490264,103.3431415,24,
baseline,419002831,11,11,True,3392.053729,308.3685208181818,31,
baseline,419002832,10,10,True,3328.185105,332.8185105,23,
baseline,419002833,15,15,True,4365.99502,291.0663346666667,38,
baseline,419002834,10,10,True,2475.154657,247.5154657,18,
baseline,419002835,14,14,True,3177.259869,226.9471335,44,
baseline,419002836,16,16,True,4063.140833,253.9463020625,34,
baseline,419002837,13,13,True,3558.449143,273.72685715384614,41,
baseline,419002838,11,11,True,2562.078626,232.9162387272727,21,
baseline,419002839,16,16,True,4049.807121,253.1129450625,40,
baseline,419002840,16,16,True,3192.887094,199.555443375,28,
baseline,419002841,14,14,True,3648.542663,260.61019021428575,40,
baseline,419002842,11,11,True,2275.781578,206.88923436363638,21,
baseline,419002843,13,13,True,3652.371471,280.9516516153846,36,
baseline,419002844,15,15,True,3565.83872,237.72258133333335,30,
baseline,419002845,10,10,True,3781.703898,378.1703898,30,
baseline,419002846,15,15,True,2439.144462,162.60963080000002,23,
baseline,419002847,16,16,True,3897.34838,243.58427375,43,
baseline,419002848,14,14,True,3904.419842,278.88713157142854,28,
baseline,419002849,11,11,True,3442.445043,312.9495493636364,34,
baseline,419002850,13,13,True,2479.760543,190.750811,22,
baseline,419002851,14,14,True,4362.714147,311.6224390714286,39,
baseline,419002852,10,10,True,3506.642947,350.66429469999997,20,
baseline,419002853,11,11,True,3630.021493,330.0019539090909,30,
baseline,419002854,15,15,True,2676.914092,178.46093946666667,27,
baseline,419002855,11,11,True,3396.047681,308.7316073636364,36,
baseline,419002856,14,14,True,3454.317667,246.7369762142857,37,
baseline,419002857,12,12,True,3807.593839,317.29948658333336,33,
baseline,419002858,15,15,True,2533.320688,168.88804586666666,24,
baseline,419002859,14,14,True,3587.049103,256.21779307142856,38,
baseline,419002860,12,12,True,3958.417151,329.8680959166667,27,
baseline,419002861,12,12,True,3335.653026,277.9710855,36,
baseline,419002862,10,10,True,2239.377509,223.9377509,18,
baseline,419002863,15,15,True,4030.482164,268.69881093333333,40,
baseline,419002864,11,11,True,3058.948948,278.086268,26,
baseline,419002865,16,16,True,3773.312019,235.8320011875,40,
baseline,419002866,12,12,True,2366.395164,197.199597,22,
baseline,419002867,13,13,True,3171.227908,243.9406083076923,40,
baseline,419002868,11,11,True,3776.369482,343.30631654545454,27,
baseline,419002869,12,12,True,3991.512457,332.6260380833333,32,
baseline,419002870,11,11,True,2528.858736,229.89624872727273,21,
baseline,419002871,11,11,True,3623.409966,329.400906,31,
baseline,419002872,16,16,True,4127.135187,257.9459491875,36,
baseline,419002873,14,14,True,3644.602536,260.32875257142854,38,
baseline,419002874,16,16,True,1211.850425,75.7406515625,21,
baseline,419002875,13,13,True,3876.429716,298.18690123076925,36,
baseline,419002876,14,14,True,3306.902625,236.20733035714287,32,
baseline,419002877,16,16,True,3984.118126,249.007382875,40,
baseline,419002878,16,16,True,1574.085037,98.3803148125,27,
baseline,419002879,13,13,True,3712.058092,285.54293015384616,34,
baseline,419002880,12,12,True,2912.458109,242.70484241666668,23,
baseline,419002881,13,13,True,3552.217971,273.24753623076924,35,
baseline,419002882,12,12,True,2271.233582,189.26946516666666,22,
baseline,419002883,10,10,True,3967.847149,396.78471490000004,31,
baseline,419002884,16,16,True,4240.568141,265.0355088125,39,
baseline,419002885,15,15,True,3794.221449,252.9480966,42,
baseline,419002886,15,15,True,2609.37861,173.95857400000003,26,
baseline,419002887,10,10,True,3413.520679,341.3520679,29,
baseline,419002888,14,14,True,3599.886377,257.1347412142857,32,
baseline,419002889,10,10,True,3384.110532,338.4110532,30,
baseline,419002890,10,10,True,2616.532779,261.65327790000003,21,
baseline,419002891,10,10,True,3270.684937,327.0684937,29,
baseline,419002892,10,10,True,3255.811249,325.58112489999996,22,
baseline,419002893,12,12,True,3915.089631,326.25746925,32,
baseline,419002894,11,11,True,2379.530721,216.32097463636364,28,
baseline,419002895,12,12,True,3554.977404,296.24811700000004,34,
baseline,419002896,14,14,True,4119.016632,294.2154737142857,36,
baseline,419002897,16,16,True,3719.555654,232.472228375,40,
baseline,419002898,14,14,True,2319.536888,165.6812062857143,25,
baseline,419002899,10,10,True,3760.081232,376.0081232,28,
baseline,419002900,16,16,True,3123.175004,195.19843775,30,
baseline,419002901,14,14,True,3345.966015,238.9975725,39,
baseline,419002902,12,12,True,2711.52862,225.96071833333335,23,
baseline,419002903,10,10,True,3250.891866,325.0891866,30,
baseline,419002904,15,15,True,3494.699573,232.97997153333333,29,
baseline,419002905,12,12,True,4208.275421,350.6896184166667,33,
baseline,419002906,12,12,True,2297.456949,191.45474575,21,
baseline,419002907,11,11,True,3475.342457,315.9402233636364,35,
baseline,419002908,14,14,True,4434.930073,316.78071950000003,31,
baseline,419002909,16,16,True,3767.963716,235.49773225,39,
baseline,419002910,16,16,True,1910.646371,119.4153981875,27,
baseline,419002911,15,15,True,3839.542719,255.9695146,38,
baseline,419002912,16,16,True,3345.388459,209.0867786875,30,
baseline,419002913,13,13,True,3729.824349,286.90956530769233,36,
baseline,419002914,12,12,True,2882.414366,240.20119716666667,28,
baseline,419002915,14,14,True,3541.016229,252.92973064285712,33,
baseline,419002916,15,15,True,3483.565402,232.23769346666668,33,
baseline,419002917,16,16,True,4326.891742,270.430733875,40,
baseline,419002918,14,14,True,2370.29803,169.30700214285713,23,
baseline,419002919,15,15,True,3681.532225,245.43548166666667,40,
baseline,419002920,16,16,True,4485.433581,280.3395988125,36,
baseline,419002921,14,14,True,3593.854233,256.7038737857143,35,
baseline,419002922,16,16,True,2146.195448,134.1372155,27,
baseline,419002923,16,16,True,3742.788227,233.9242641875,41,
baseline,419002924,14,14,True,3168.147968,226.29628342857146,28,
baseline,419002925,11,11,True,3765.011774,342.27379763636367,31,
baseline,419002926,16,16,True,2588.129543,161.7580964375,31,
baseline,419002927,12,12,True,3536.77107,294.73092249999996,37,
baseline,419002928,10,10,True,3060.857336,306.0857336,20,
baseline,419002929,12,12,True,3714.567282,309.5472735,32,
baseline,419002930,14,14,True,2546.206957,181.8719255,23,
baseline,419002931,13,13,True,3657.1777,281.32136153846153,38,
baseline,419002932,13,13,True,3837.557839,295.19675684615385,31,
baseline,419002933,12,12,True,3229.316471,269.10970591666666,37,
baseline,419002934,12,12,True,2320.56494,193.38041166666667,23,
baseline,419002935,11,11,True,3793.692894,344.88117218181816,31,
baseline,419002936,10,10,True,3094.972162,309.4972162,21,
baseline,419002937,16,16,True,3858.916656,241.182291,43,
baseline,419002938,11,11,True,2463.488473,223.95349754545452,23,
baseline,419002939,11,11,True,3454.373726,314.03397509090905,36,
baseline,419002940,11,11,True,2817.999443,256.18176754545453,21,
baseline,419002941,15,15,True,3970.440082,264.6960054666667,40,
baseline,419002942,15,15,True,2574.634339,171.64228926666667,26,
baseline,419002943,16,16,True,3761.922767,235.1201729375,42,
baseline,419002944,10,10,True,3455.044778,345.5044778,24,
baseline,419002945,11,11,True,3280.164842,298.1968038181818,31,
baseline,419002946,11,11,True,3042.334058,276.57582345454546,23,
baseline,419002947,13,13,True,3825.171048,294.24392676923077,34,
baseline,419002948,15,15,True,3369.674682,224.6449788,26,
baseline,419002949,13,13,True,3790.064605,291.54343115384614,37,
baseline,419002950,13,13,True,2960.78506,227.75269692307694,30,
baseline,419002951,16,16,True,3211.546653,200.7216658125,45,
baseline,419002952,15,15,True,3588.781133,239.25207553333334,31,
baseline,419002953,16,16,True,4220.520483,263.7825301875,40,
baseline,419002954,11,11,True,2339.103907,212.64580972727273,20,
baseline,419002955,11,11,True,3720.822516,338.2565923636364,35,
baseline,419002956,16,16,True,3262.173894,203.885868375,34,
baseline,419002957,16,16,True,3660.641752,228.7901095,41,
baseline,419002958,16,16,True,1210.875328,75.679708,21,
baseline,419002959,12,12,True,3756.117456,313.009788,32,
baseline,419002960,14,14,True,3251.529871,232.25213364285716,25,
baseline,419002961,16,16,True,4025.670599,251.6044124375,41,
baseline,419002962,13,13,True,3112.137839,239.3952183846154,32,
baseline,419002963,13,13,True,3410.66244,262.35864923076923,38,
baseline,419002964,11,11,True,3065.941505,278.721955,21,
baseline,419002965,13,13,True,3812.874419,293.29803223076925,34,
baseline,419002966,11,11,True,2321.83835,211.07621363636363,21,
baseline,419002967,15,15,True,3986.666701,265.77778006666665,40,
baseline,419002968,16,16,True,3762.642958,235.165184875,34,
baseline,419002969,13,13,True,3577.0856,275.16043076923074,37,
baseline,419002970,16,16,True,1993.706718,124.606669875,24,
baseline,419002971,16,16,True,3984.788607,249.0492879375,40,
baseline,419002972,10,10,True,2897.776665,289.7776665,21,
baseline,419002973,12,12,True,3556.907525,296.4089604166667,34,
baseline,419002974,13,13,True,2835.835245,218.14117269230772,25,
baseline,419002975,14,14,True,3350.692535,239.3351810714286,43,
baseline,419002976,14,14,True,3173.213914,226.65813671428572,30,
baseline,419002977,14,14,True,3949.233731,282.0881236428571,38,
baseline,419002978,11,11,True,2425.666424,220.51512945454544,26,
baseline,419002979,13,13,True,3894.370198,299.56693830769234,38,
baseline,419002980,13,13,True,3509.842536,269.9878873846154,30,
baseline,419002981,12,12,True,3587.99949,298.9999575,35,
baseline,419002982,12,12,True,2415.86828,201.32235666666668,22,
baseline,419002983,11,11,True,3618.521773,328.95652481818183,31,
baseline,419002984,15,15,True,3533.795966,235.58639773333334,30,
baseline,419002985,11,11,True,3418.643245,310.78574954545456,32,
baseline,419002986,12,12,True,2275.983306,189.6652755,23,
baseline,419002987,15,15,True,3387.632587,225.84217246666668,44,
baseline,419002988,16,16,True,3866.867458,241.679216125,33,
baseline,419002989,16,16,True,3892.592871,243.2870544375,41,
baseline,419002990,14,14,True,2302.347541,164.4533957857143,26,
baseline,419002991,14,14,True,3784.493636,270.32097400000004,39,
baseline,419002992,15,15,True,3585.763967,239.05093113333334,35,
baseline,419002993,12,12,True,3747.548766,312.2957305,32,
baseline,419002994,12,12,True,2308.001572,192.33346433333335,20,
baseline,419002995,11,11,True,3622.038082,329.27618927272727,31,
baseline,419002996,13,13,True,3454.615882,265.73968323076923,26,
baseline,419002997,15,15,True,3570.164849,238.01098993333332,42,
baseline,419002998,16,16,True,1627.879256,101.7424535,24,
baseline,419002999,16,16,True,3656.801675,228.5501046875,44,
candidate,419000000,13,13,True,3625.380345,278.87541115384613,28,
candidate,419000001,16,16,True,4042.182589,252.6364118125,40,
candidate,419000002,16,16,True,1297.28313,81.080195625,23,
candidate,419000003,15,15,True,3698.075516,246.53836773333333,39,
candidate,419000004,14,14,True,3653.876552,260.9911822857143,32,
candidate,419000005,11,11,True,3441.946042,312.90418563636365,34,
candidate,419000006,11,11,True,2399.58891,218.14444636363635,20,
candidate,419000007,15,15,True,4562.106501,304.1404334,39,
candidate,419000008,10,10,True,2878.598627,287.8598627,23,
candidate,419000009,16,16,True,4066.929722,254.183107625,44,
candidate,419000010,14,14,True,2469.03031,176.35930785714285,26,
candidate,419000011,13,13,True,3549.985113,273.07577792307694,39,
candidate,419000012,13,13,True,3246.49018,249.73001384615384,25,
candidate,419000013,12,12,True,3856.201272,321.350106,32,
candidate,419000014,10,10,True,2428.412307,242.8412307,19,
candidate,419000015,13,13,True,3608.315095,277.5626996153846,32,
candidate,419000016,16,16,True,3794.654661,237.1659163125,34,
candidate,419000017,14,14,True,3534.770821,252.48363007142856,36,
candidate,419000018,10,10,True,2285.469543,228.5469543,19,
candidate,419000019,13,13,True,3671.799405,282.4461080769231,33,
candidate,419000020,10,10,True,2762.184722,276.2184722,21,
candidate,419000021,16,16,True,4067.214257,254.2008910625,43,
candidate,419000022,10,10,True,2492.172899,249.21728990000003,25,
candidate,419000023,14,14,True,3528.801178,252.057227,38,
candidate,419000024,12,12,True,3206.661879,267.22182325,26,
candidate,419000025,15,15,True,4049.212828,269.9475218666667,39,
candidate,419000026,14,14,True,2499.870866,178.56220471428574,22,
candidate,419000027,12,12,True,3652.954827,304.41290225,33,
candidate,419000028,11,11,True,3648.388327,331.6716660909091,27,
candidate,419000029,14,14,True,3496.455314,249.74680814285713,40,
candidate,419000030,10,10,True,2399.232245,239.9232245,21,
candidate,419000031,14,14,True,4089.97927,292.1413764285714,37,
candidate,419000032,16,16,True,3248.919694,203.057480875,29,
candidate,419000033,16,16,True,3877.923743,242.3702339375,43,
candidate,419000034,15,15,True,3033.047291,202.20315273333333,30,
candidate,419000035,10,10,True,3335.714956,333.5714956,31,
candidate,419000036,14,14,True,3603.719751,257.40855364285716,27,
candidate,419000037,11,11,True,3760.024775,341.8204340909091,30,
candidate,419000038,11,11,True,2274.615382,206.78321654545454,22,
candidate,419000039,14,14,True,3761.916233,268.7083023571428,40,
candidate,419000040,12,12,True,3157.982394,263.1651995,27,
candidate,419000041,15,15,True,3840.650581,256.0433720666667,43,
candidate,419000042,14,14,True,2401.163783,171.5116987857143,27,
candidate,419000043,15,15,True,4308.712737,287.2475158,38,
candidate,419000044,12,12,True,2993.877212,249.48976766666667,27,
candidate,419000045,15,15,True,3596.180011,239.74533406666666,38,
candidate,419000046,12,12,True,2465.251191,205.43759924999998,24,
candidate,419000047,15,15,True,3628.275288,241.8850192,41,
candidate,419000048,13,13,True,3307.752755,254.4425196153846,27,
candidate,419000049,11,11,True,3362.070151,305.642741,29,
candidate,419000050,12,12,True,2304.544657,192.04538808333334,23,
candidate,419000051,15,15,True,3827.343855,255.156257,39,
candidate,419000052,12,12,True,3583.722722,298.64356016666665,32,
candidate,419000053,12,12,True,3581.531983,298.4609985833333,35,
candidate,419000054,10,10,True,2495.21766,249.52176599999999,19,
candidate,419000055,14,14,True,4194.800941,299.6286386428572,36,
candidate,419000056,10,10,True,3109.79584,310.97958400000005,21,
candidate,419000057,13,13,True,3459.232588,266.0948144615385,36,
candidate,419000058,11,11,True,2478.301603,225.3001457272727,25,
candidate,419000059,13,13,True,3284.40786,252.64675846153844,36,
candidate,419000060,11,11,True,3180.207319,289.1097562727273,23,
candidate,419000061,11,11,True,3903.775434,354.8886758181818,30,
candidate,419000062,13,13,True,2734.865206,210.3742466153846,24,
candidate,419000063,11,11,True,3130.530094,284.5936449090909,33,
candidate,419000064,16,16,True,3838.463346,239.903959125,36,
candidate,419000065,13,13,True,3481.499456,267.80765046153846,37,
candidate,419000066,10,10,True,2418.129299,241.81292990000003,20,
candidate,419000067,16,16,True,4178.788513,261.1742820625,38,
candidate,419000068,15,15,True,3375.38484,225.025656,29,
candidate,419000069,11,11,True,3240.794228,294.6176570909091,29,
candidate,419000070,11,11,True,2604.103321,236.73666554545454,25,
candidate,419000071,15,15,True,3522.561609,234.83744059999998,43,
candidate,419000072,10,10,True,2906.113446,290.6113446,20,
candidate,419000073,16,16,True,4156.711632,259.794477,41,
candidate,419000074,10,10,True,2448.659233,244.8659233,23,
candidate,419000075,12,12,True,3427.395599,285.61629991666666,34,
candidate,419000076,15,15,True,3559.220664,237.28137759999998,33,
candidate,419000077,14,14,True,3199.815849,228.55827492857142,34,
candidate,419000078,16,16,True,1266.826848,79.176678,27,
candidate,419000079,13,13,True,4316.936097,332.0720074615384,35,
candidate,419000080,12,12,True,3090.385477,257.5321230833333,23,
candidate,419000081,10,10,True,3473.629349,347.36293489999997,29,
candidate,419000082,14,14,True,2430.556553,173.61118235714284,28,
candidate,419000083,10,10,True,3020.457185,302.0457185,31,
candidate,419000084,11,11,True,3118.804545,283.5276859090909,25,
candidate,419000085,15,15,True,3849.036353,256.6024235333333,38,
candidate,419000086,10,10,True,2318.398287,231.8398287,19,
candidate,419000087,15,15,True,3983.098675,265.5399116666667,39,
candidate,419000088,14,14,True,3746.999869,267.6428477857143,35,
candidate,419000089,14,14,True,3473.825442,248.13038871428571,40,
candidate,419000090,11,11,True,2174.455129,197.677739,20,
candidate,419000091,16,16,True,4228.013813,264.2508633125,38,
candidate,419000092,12,12,True,3430.262035,285.85516958333335,25,
candidate,419000093,13,13,True,3651.517848,280.8859883076923,36,
candidate,419000094,11,11,True,2719.827556,247.25705054545458,25,
candidate,419000095,12,12,True,3421.404093,285.11700775,37,
candidate,419000096,14,14,True,3591.4796,256.53425714285714,25,
candidate,419000097,12,12,True,3783.375917,315.2813264166667,32,
candidate,419000098,13,13,True,2332.012762,179.38559707692306,23,
candidate,419000099,14,14,True,3606.772305,257.6265932142857,36,
candidate,419000100,11,11,True,3496.048953,317.8226320909091,26,
candidate,419000101,14,14,True,3685.883766,263.27741185714285,36,
candidate,419000102,14,14,True,2802.584516,200.1846082857143,24,
candidate,419000103,11,11,True,3584.4711,325.86100909090914,30,
candidate,419000104,10,10,True,2813.897028,281.3897028,20,
candidate,419000105,16,16,True,3708.892053,231.8057533125,41,
candidate,419000106,15,15,True,2455.281954,163.6854636,31,
candidate,419000107,14,14,True,3596.126141,256.86615292857147,35,
candidate,419000108,16,16,True,3663.935791,228.9959869375,33,
candidate,419000109,12,12,True,3756.979336,313.08161133333334,32,
candidate,419000110,10,10,True,2348.365025,234.8365025,21,
candidate,419000111,16,16,True,4073.406009,254.5878755625,38,
candidate,419000112,16,16,True,3482.138995,217.6336871875,34,
candidate,419000113,12,12,True,3501.490866,291.7909055,31,
candidate,419000114,14,14,True,2358.124363,168.4374545,29,
candidate,419000115,15,15,True,4037.895555,269.193037,38,
candidate,419000116,12,12,True,2981.302812,248.441901,20,
candidate,419000117,14,14,True,3716.911592,265.49368514285715,36,
candidate,419000118,15,15,True,2581.22192,172.08146133333332,27,
candidate,419000119,13,13,True,3456.590974,265.8916133846154,39,
candidate,419000120,15,15,True,3330.769205,222.05128033333332,35,
candidate,419000121,12,12,True,3779.264664,314.938722,33,
candidate,419000122,13,13,True,2508.411891,192.95476084615387,26,
candidate,419000123,12,12,True,3576.165323,298.0137769166667,34,
candidate,419000124,12,12,True,3036.465281,253.03877341666666,28,
candidate,419000125,11,11,True,3287.142059,298.8310962727273,31,
